,Comments,Date,Likes
93,"The biggest failure in UFC is Bones. Even with the Dana's privilege saving his career from what this video should feature, his privilege led to oNe, so thank you. 🙏🙏🙏🙏🙏",2023-07-05T19:50:47Z,0
94,19:44 I love that Thoedore Roosevelt quote.,2023-07-05T02:09:38Z,0
95,"meh i just watch DJs fight from 3 months ago, looked average at best. i don't give a sht about flyweights or lady fighters. they just have no power. my child has skills with no power...",2023-07-03T13:25:14Z,0
96,"Good the UFC is a joke, just look at Conner! lol Glad he went to ONE! 
People don't understand that size determines tactics. Big guys don't know how to fight and just hot to throw a knock out punch. Smaller guys have skills heavy big guys struggle to do. Boxing is a prime example. It's the same for martial arts.",2023-06-26T18:43:55Z,1
97,gayest commentary ive heard in a while,2023-06-25T00:14:46Z,0
98,As good as dj is. Never could beat cruz,2023-06-23T10:54:20Z,0
99,Wow all the ufc fans are delusional,2023-06-20T08:32:04Z,0
100,"BEN and Johnson both destroyed by their opponents,,,",2023-06-20T06:35:39Z,0
101,The ufc failed him not the other way round,2023-06-20T04:35:37Z,0
102,"Ufc is for mere scrapping and arrogance to the extreme of being violent outside of fights themselves which is disrespectful

While ONE is a respectful competition that has the so much hype in any of their fights while the fighters are respectful towards their opponent which is why it is gaining popularity over ufc l, which I’m glad that it is happening, also they pay the fighter’s appropriately and fairly unlike ufc",2023-06-20T03:45:31Z,0
103,"Well ONE is bigger and better so it don’t matter what the ufc thinks, the us isn’t the world so.",2023-06-18T23:35:48Z,0
104,What an amazing man DJ is.,2023-06-18T10:26:32Z,0
105,Point blank period why ONE will be a better organization than UFC Dana White is not a leader by which the eastern world would choose to follow behind. Dana White is on the verge of being labeled a schmuck.,2023-06-12T13:06:45Z,0
106,This is when being the best doesn't matter.,2023-06-10T10:58:30Z,0
107,DJ and ONE are winners and will continue to be.,2023-06-07T21:51:40Z,0
108,I will happily pay for this fight and may the best man win.,2023-06-07T19:23:50Z,0
109,Yeh what ever. Woke marxist Billionaire propoganda.,2023-06-07T08:22:34Z,0
110,"""Abusive"" putting us in the corner for 15 mins. Yeah whats the alternate if timeout is abusive lol",2023-06-05T13:27:38Z,0
111,Rotang has BAAAAAAALLS to step into the cage as a striker!!!,2023-06-04T20:45:20Z,0
112,Demetrius Johnsen,2023-06-04T20:30:10Z,0
113,DJ is very very small.,2023-06-04T20:28:13Z,0
114,That's what the martial arts is all about. ASIAN MARTIAL ARTS ARE CULTURES OF RESPECTS.,2023-06-04T19:50:49Z,0
115,DM one of the greats,2023-06-04T17:42:46Z,0
116,I remember when he would come on to fight I'd go on a beer run you just automatically knew he was going to win he didn't sell his fights promotional wise not a needle mover now your all talking about him 😂 🙄  Dana did the right move got askren who got k.o by street Judas and the rest is history with hyped up fights it was a good move,2023-06-04T16:20:16Z,0
117,Wow! He's always been one of my favourite fighters! It's such a shame the ufc scrapped the flyweight division and I don't know why they did as the reasons why were silly in my humble opinion ok the division didn't pull in pay per views but if the ufc is supposed to be the pinnacle and Olympics of mma then the division should have stayed open as you can't really say you're the best organisation if you don't have all the divisions..,2023-06-04T05:11:22Z,0
118,"What an amazing man, what an incredible athlete.",2023-06-03T20:42:41Z,0
119,Wishing all the luck for ONE,2023-06-02T23:08:37Z,0
120,Did the Muay Thai guy refuse to tap and just went to sleep? Fucking beast.,2023-06-02T08:19:41Z,0
121,Failure ? In terms of fighting no one could touch him he was awesome,2023-06-01T22:00:39Z,0
122,"UFC’s loss 100%, he has continued being a legend since he left. I believe if he came back to UFC he would slay a lot of fighters.    Can’t wait to see the time when ONE and UFC  have cross organizational fights.      It’s not soon tho. 

And I believe the ONE organization would slaughter MOST UFC fighters. Trust me.",2023-06-01T09:55:37Z,0
123,"Bro I’m still laughing , that suplex  still pisses me off till this day. Lmao",2023-06-01T04:29:43Z,0
124,So sick of UFCs and Dana’s ego and bullcrap!,2023-05-31T07:30:47Z,0
125,"ay nigga speak clearly, statistical probability for African American children  abandonment by the dad isn’t true.",2023-05-30T08:46:19Z,1
126,Awesome video!! Very well made documentary!!,2023-05-30T05:24:34Z,0
127,"Great doc, can we know what song you used at around min 10?",2023-05-29T16:02:26Z,0
128,I had a opportunity to meet DJ back in 2018 and all I can say he is so nice guy and make me instantly made me into his fans ❤❤😊😊,2023-05-29T14:30:56Z,1
129,He’s so nice dude . Guy is a true man . Had all that anger and rage under control,2023-05-29T07:39:07Z,0
130,True warrior and an active legend,2023-05-25T23:52:00Z,0
131,"I thought Wilson Reis was going to submit him. Boy I was wrong, glad I didn't place any bets on it at the time! 😂",2023-05-25T10:24:20Z,0
132,Dj really got some Budo spirit,2023-05-23T05:36:18Z,0
133,The greatest mixed martial artist of all time along with john jones ❤,2023-05-22T20:00:47Z,0
134,"They are always blaming the father and mother is always a ""saint""...kinda generic story.",2023-05-21T13:20:31Z,1
135,ufc doesn't deserve him.,2023-05-20T17:36:13Z,0
136,Dana White is a complete tool bag. DJ is the GOAT,2023-05-19T20:20:29Z,0
137,The pink elephant in the room is Racist Dana.,2023-05-19T13:23:15Z,0
138,The UFC does not deserve Mighty Mouse.,2023-05-19T09:01:33Z,0
139,I thought this was ufc smh they did the fighters like that shout out to ONE,2023-05-19T01:29:52Z,0
140,"One thing they can’t take away from the Mighty Mouse is his talent, humble beginnings, and striving in the industry!!!!",2023-05-18T19:46:30Z,0
141,"Wherever he’s fighting , p4p greatest",2023-05-16T12:39:13Z,0
142,Dj was inlove with fighting that's that. No talking shit no enhancements etc only humble and respect. So paper view was not in his favor. Dj is the goat.,2023-05-16T00:18:22Z,0
143,One > ufc,2023-05-15T08:22:34Z,0
144,"I swear, Johnson vs Dodson 1 is one of the best fights I've seen. Looked like MMA in fast forward with diminished gravity",2023-05-14T19:47:55Z,0
