,Comments,Date,Likes
118,Iron man ❤,2023-07-01T14:45:09Z,0
119,I love Stamp and Rodtang they are true martial artists and great role models.,2023-07-01T01:55:09Z,1
120,ONE forced the fighters to get experimental injections. It may still be. I don’t know. UFC gave fighters the choice. Stamp is so awesome. Rodtang is such a beast,2023-07-01T01:51:36Z,0
121,Phenomenal video!,2023-06-30T15:34:50Z,0
122,I dont think they fell in love. Rodtang has a wife,2023-06-30T14:59:51Z,0
123,I had no idea he was so young! He is already a hardeness veteran. Insane!,2023-06-30T14:44:52Z,2
124,"I don't know how I didn't find this channel earlier, but glad I did this is high quality work. Please continue to do your thing and thank you.",2023-06-30T11:38:52Z,1
125,Barbaric..,2023-06-30T04:51:26Z,1
126,Love Rodtang and Stamp. Not just their skills in the ring but also their rags to success stories . Superstars,2023-06-30T01:56:08Z,22
127,"I 100% agree with your final statements One Championship is gaining momentum as a better product, As at UFC Dana's ego is killing his own brand an then aligning himself with  Disgusting fighters who talk about harming the other fighters wives an unnecessary trash talk this is not the way of the fighter..... Youngsters watching the sport learn this an is harmful to watch, as a fighter from the east has better based morals to be humble-humility-virtues that seems to be lost with a majority of fighters in the UFC",2023-06-29T23:44:02Z,2
128,"I fought many bouts and k.o. every opponent in child muay Thai when I was in Thailand. 
14-17yo. category. 


I was a 32yo American tourist.  Lol.",2023-06-29T23:18:21Z,0
129,not much makes me cry im not an emotional guy but this made me cry just the percervience the emotion and hard work the ups and downs and hope all is just a perfect story this has made me want to start muay thai,2023-06-29T17:53:57Z,3
130,What a beautiful documentary. Thanks for sharing so much insight. I had no idea that Stamp and Rodtang were involved.,2023-06-29T17:33:17Z,3
131,A kid who trains as a hobby will never know the pressure of a kid who trains to feed their family. From pressure comes diamonds.,2023-06-29T15:27:07Z,2
132,Absolutely beautiful. I nearly cried.,2023-06-29T12:49:15Z,2
133,you know the video was incredible when it has 4 dislikes after 5 days,2023-06-29T09:50:46Z,2
134,Amazing video and i dont say that much,2023-06-29T06:13:16Z,0
135,"This documentary makes out that this is bad , these kids learn respect hard work discipline . Whilst in the uk our kids spit at their mothers and carry knives , I know which one I would choose for my kids",2023-06-29T05:59:42Z,2
136,"interesting video, but it is not really about children in Muay Thai but more about 2 Muay Thai fighters who got into the sport at a young age.",2023-06-29T02:58:37Z,8
137,Thank you for a beautiful documentary on these two athletes!,2023-06-29T01:39:46Z,3
138,I wish I had that upbringing.,2023-06-29T01:30:23Z,1
139,...it means their families can eat...or an orphaned child can have a place to sleep...children as young as 5 yrs old compete.... only a fraction of people get to go to university...these are the wealthy Thais...the majority are poorer than your disconnected concience can comprehend.,2023-06-28T20:13:29Z,0
140,"Honestly, the only ppl that wouldnt understand this are the whites. They dont know what struggle is or whats it like having nothing.",2023-06-28T16:08:44Z,0
141,I dislike that children have to fight to help provide for their families. at the same time I'm grateful for the sacrifice since the level of mastery wouldn't be the same without the experience.,2023-06-28T15:58:09Z,0
142,"Not gonna lie this made me emotional , i shed a few tears or two.
Well put together documentary good work.",2023-06-28T15:53:17Z,1
143,Amazing video and great story telling. Also I love the vibe of one fc and people being kind to each other after fights,2023-06-28T14:56:00Z,4
144,Thanks for this video. Beautiful,2023-06-28T14:43:35Z,1
145,Is this reupload?,2023-06-28T13:30:57Z,0
146,Weird that thailand doesn't  like women fighting but lady boys are fine,2023-06-28T13:07:58Z,2
147,I thought this was gonna be focused on the brutality of child muay Thai and exploitation,2023-06-28T10:40:01Z,2
148,Great video!.. You should mention that Thias don't touch each other on the heads and in the Video both do by none thais.,2023-06-28T07:58:44Z,0
149,Its so refreshing to see these fighters lose big fight and still being nice and graceful to opponents.,2023-06-28T07:15:31Z,2
150,Damn this shit entertaining as hell,2023-06-28T05:51:30Z,0
151,Good video. I like the music.,2023-06-28T03:33:51Z,0
152,"inspiring story, also if there's not sacrifice and fcking hard work, no legend are made",2023-06-28T03:09:41Z,0
153,Rodtang is gonna have some serious brain damage by the time he's 30..but he's no doubt a savage.,2023-06-28T02:25:56Z,0
154,I love crisp striking technique  amazing,2023-06-28T01:22:45Z,0
155,"It makes me cringe when I hear foreigner say BANG COCK. You got every city in Thailand with Thai names but 1 city BANGCOCK! Don't you think that's odd? 1 city with a foreign name? Our city is called Krung Tape, get it right! Bangkok needs to be gone, it is a mockery of my country.",2023-06-28T01:13:13Z,1
156,"This needs to be talked about more ! As the Simpsons once said, ""think of the children!"". Competition is important but safety always comes first for the wee ones",2023-06-28T00:11:55Z,7
157,We need that guru documentary. Might be little harder now that is second channel is wiped clean.,2023-06-27T22:26:55Z,0
158,STAMP IS A LEGEND SHE WON 3 TITLES,2023-06-27T22:23:09Z,3
159,Real life Sardaukar,2023-06-27T22:09:20Z,0
160,Amazing documentary!,2023-06-27T20:41:08Z,1
161,"I feel like this documentry should have just been about Stamp. Trying to shoe in ""the brutal world of child fighing"" and Rodtang was a bad idea and it only broke the cohesiveness of the story. Aside from that, great Stamp documentary.",2023-06-27T19:38:04Z,0
162,When in thailand I have seen kids that age throwing bombs on one another. It's hard to watch,2023-06-27T16:49:55Z,0
163,"Awesome Bro,, I came across One Championship when i lookin for something on YouTube  and there it was Live on YouTube fighting was christopher Lee and he absolutely battered  this man it was one of the best fights ive ever seen and im a avid UFC fan but after the Lee fight was Muay Thai then Kickboxing and i was perplexed coz ive never seen a fight card like this before all these different fight's so from this point i always watch One every Friday it far better than the UFC because all fighters respect each other there's no bad words to each other this is where the UFC is awfull in my eye's and its off putting One Championship is free to watch which is crazy because of the level of fighters they have. Truely Awesome",2023-06-27T15:32:17Z,0
164,"One Championship has actual fighters with different h2h combat events on the same card .

UFC has twitter warriors who complain bout money on social media after they've already signed the contract.


☝ CHAMPIONSHIP",2023-06-26T23:58:15Z,0
165,"This video deserves 100M views.  I love Muay Thai, but this is a good piece for anyone to see what others around the world go through in comparison to the comfortable, complacent, and crybaby lives many live.",2023-06-26T20:04:37Z,15
166,Demetrious Johnson is the King of One Championship. It's not even close. Try again bud.,2023-06-26T19:40:04Z,0
167,Kind of glorifies child fighting which isn't good...,2023-06-26T18:00:32Z,0
168,This is actually a reupload. Great doc if you haven’t seen it yet.,2023-06-26T17:52:14Z,0
169,Is this a re-upload?,2023-06-26T08:33:48Z,0
170,"Sometimes i just let this play on mute while i watch tv. Ya know, bc youtube",2023-06-26T07:36:19Z,0
171,can’t believe they took it down man i remembered this was a great video,2023-06-26T00:30:37Z,0
172,Big respect to #richfranklin for giving this chance to this prized fighter big respect to you man 100%,2023-06-25T18:29:39Z,2
173,Amazingly put together,2023-06-25T17:18:11Z,0
174,Stamp❤️⭐️,2023-06-25T02:14:10Z,0
175,Ah man! I was rooting for them to have babies and make a super athlete,2023-06-25T02:03:12Z,0
176,outstanding documentary!,2023-06-24T18:37:49Z,0
177,Masterfully done.,2023-06-24T17:06:18Z,0
178,Rodtang's early upbringing reminds me of kids joining dojos throughout china and other british colonial holdings in the east during the 19th and 20th centuries,2023-06-24T16:49:56Z,0
179,Great video as always. Love seeing stories I wouldn’t normally be exposed to. Does anyone know the song that’s playing as Stamp is on her rise to championship from 8:02-10:24?,2023-06-24T10:17:51Z,3
180,Bro really ripped Jimmythegiant’s thumbnail,2023-06-24T08:25:44Z,0
181,"Amazing video that I probably wouldn’t have seen if it wasn’t reuploaded with that announcement! I especially love these stories that are less known in the west, it was like watching a movie where I was cheering and crying during Stamp’s matches. So thrilling!",2023-06-24T08:16:45Z,8
182,I was gutted when this got brought down before I got the chance to watch it! Thanks for the upload!,2023-06-24T07:58:29Z,1
183,"this was fucking awesome, man. This video was an excellent representation of your style of filmmaking. Fantastic work - your channel is among the very best showcasing combat sports.",2023-06-24T07:51:59Z,2
184,"Man, I'm so glad that I found your channel!  It's really excellent work you're putting out, I really appreciate the production quality you put into your pieces.  Please keep up the good work and keep these docs coming good sir!",2023-06-24T07:18:56Z,8
185,this page is the new kenshin striking page ahaha so good,2023-06-24T04:26:43Z,0
186,This is one of the best fight doc I've seen in a long time,2023-06-24T04:17:09Z,2
187,Beautiful story.,2023-06-24T03:04:53Z,0
188,Don't text and drive.,2023-06-24T01:58:55Z,1
189,Stamp man🥺❤️ so happy for her she deserves it fr such a killer,2023-06-24T01:26:37Z,1
190,Love the dan hardy intro ik everyone hates him but bro knows his stuff,2023-06-24T01:16:53Z,1
191,Nak Muay🙏🏻,2023-06-24T01:16:11Z,1
192,This doc forsure blowing up!!!,2023-06-24T01:15:47Z,1
193,you deserve WAY more views. amazing video,2023-06-24T00:39:29Z,0
194,"I wanted to immediately be critical just now after hearing about kid fighting like this but then I took a minute to recognize that a lot of those criticisms and negative feeling I may have on it, are the very same criticisms and negative feelings some people outside of (and inside too I suppose) the U.S. have about our youth football. (American Football)",2023-06-24T00:39:21Z,8
195,Happy to see this back!!,2023-06-23T23:54:10Z,0
196,UFC 1 location Denver. One FC 1st time fighting in the west location Denver.,2023-06-23T23:28:59Z,0
197,I watched this then when I was looking for it to show my wife a day after it was gone 😑,2023-06-23T22:49:14Z,1
198,Bravo!,2023-06-23T22:45:32Z,0
199,"well made video, though I gotta say my first instinct is to think it's 10x harder for women's champions to get to their positions, not easier by any means.",2023-06-23T22:24:06Z,3
200,This video is killer. You earned a subscriber! Thanks for the great content,2023-06-23T21:44:02Z,2
201,Awesome vid mate! How can you not love these two.,2023-06-23T21:39:12Z,0
202,One Championship is by far the most entertaining martial arts organization nowadays.,2023-06-23T21:08:29Z,2
203,"I love how the athletes in ONE are all so respectful and gracious. It's something ONE is priding itself on and rightly so.
Never saw the original upload, glad I caught the re-release ;-)",2023-06-23T21:05:42Z,134
204,"In this house we Worship Stamp Fairtex, Queen of Violence second only to Zhang Weili.",2023-06-23T20:46:23Z,0
205,I could've sworn you already uploaded a video like this,2023-06-23T20:41:04Z,0
206,this video feels familiar,2023-06-23T19:46:06Z,0
207,Stamp is such a star! Her energy just exudes out of the screen.,2023-06-23T19:43:39Z,70
208,"When I first saw your channel all I knew about MMA was Connor and Jon Jones but now I can’t wait every time you upload, you truly are one of the best in your craft",2023-06-23T19:35:43Z,2
209,Loved this - the storytelling was excellent.,2023-06-23T19:25:42Z,0
210,This is ole,2023-06-23T19:23:15Z,0
211,"Thanks for the reupload! It's always great to see the backstory of great athletes, because most of the time you only see the performance and not all the hard work over years and years. But i guess this counts for every profession like science, art, literature to only name a few. It's always humbling to see so much dedication, will and determination. Especially in a time where most people look for shortcuts (lose 20 pounds in 2 days with these gummy bears....).",2023-06-23T19:15:09Z,37
212,is this a redrop?,2023-06-23T19:09:57Z,0
213,"awesome video man, love to see you showing love to one championship. There's only about another 100 ashes to riches stories in the promotion. Keep it up man, we love your content",2023-06-23T18:48:43Z,5
214,Ty for the doc link,2023-06-23T18:42:06Z,0
215,Hell yes!!!,2023-06-23T18:37:11Z,0
216,"Awesome Video man, way to highlight the emotions. As a listener it makes me feel more engaged",2023-06-23T18:36:24Z,2
217,my payers have been answered!!,2023-06-23T18:34:43Z,0
218,The stories behind combat sports are amazing. Sometimes I forget there are real people and stories behind the killers we watch for entertainment.,2023-06-23T18:13:20Z,20
219,This video was nothing like I thought it would be,2023-06-23T18:05:50Z,0
220,Outstanding,2023-06-23T17:57:45Z,0
221,Thanks!,2023-06-23T17:54:14Z,2
222,Absolutely beautiful video! One Championship is by far the world best fighting organization!,2023-06-23T17:47:27Z,3
223,"My colleague at work is only doing shorts and thats how he got 2mil subscribers, maybe try that for faster grow :-)",2023-06-23T17:46:53Z,2
224,"This chanell is so good, is it growing? I hope its growing. I will just put few extra likes on coments :-)",2023-06-23T17:45:05Z,0
225,"Excellent film sir, you have a new subscriber. 🙏🏾",2023-06-23T17:37:56Z,1
226,This channel is gold. Brilliant stuff,2023-06-23T17:32:10Z,0
227,re upload?,2023-06-23T17:31:32Z,0
228,"Both of their stories are so inspiring
Great examples of what hard work and dedication is",2023-06-23T17:30:08Z,92
229,beautiful movie made me emotional,2023-06-23T17:15:59Z,0
230,"Rodtang 🔥
About time we got a video on him.
Edit: I've never heard of Stamp, and thank you for including her. What a great character and amazing story.",2023-06-23T17:06:38Z,46
231,incredible video,2023-06-23T17:01:08Z,0
232,is this a repost?,2023-06-23T16:59:44Z,0
